timestamp,theta_neck
16:00:00.000,0.84
16:00:00.314,0.82
16:00:00.628,0.8
16:00:00.942,7.04
16:00:01.256,0.24
16:00:01.570,4.1
16:00:01.884,0.85
16:00:02.198,0.83
16:00:02.512,0.82
16:00:02.826,4.32
16:00:03.140,22.7
16:00:03.454,33.84
16:00:03.768,32.6
16:00:04.082,34.5
16:00:04.396,32.78
16:00:04.710,35.03
16:00:05.024,34.16
16:00:05.338,34.0
16:00:05.652,34.47
16:00:05.966,35.41
16:00:06.280,35.35
16:00:06.594,34.74
16:00:06.908,33.55
16:00:07.222,36.43
16:00:07.536,30.8
16:00:07.850,23.93
16:00:08.164,26.08
16:00:08.478,20.09
16:00:08.792,17.74
16:00:09.106,20.57
16:00:09.420,19.73
16:00:09.734,19.89
16:00:10.048,20.51
16:00:10.362,24.07
16:00:10.676,21.9
16:00:10.990,20.02
16:00:11.304,22.45
16:00:11.618,22.38
16:00:11.932,31.88
16:00:12.246,35.85
16:00:12.560,38.4
16:00:12.874,37.89
16:00:13.188,37.88
16:00:13.502,37.63
16:00:13.816,37.62
16:00:14.130,37.12
16:00:14.444,39.14
16:00:14.758,42.29
16:00:15.072,33.76
16:00:15.386,35.93
16:00:15.700,33.91
16:00:16.014,13.89
16:00:16.328,18.01
16:00:16.642,12.34
16:00:16.956,14.8
16:00:17.270,22.85
16:00:17.584,13.38
16:00:17.898,12.07
16:00:18.212,13.62
16:00:18.526,19.12
16:00:18.840,18.62
16:00:19.154,12.61
16:00:19.468,16.81
16:00:19.782,11.02
16:00:20.096,23.36
16:00:20.410,19.74
16:00:20.724,15.74
16:00:21.038,21.47
16:00:21.352,30.06
16:00:21.666,40.87
16:00:21.980,37.94
16:00:22.294,41.58
16:00:22.608,40.62
16:00:22.922,41.81
16:00:23.236,42.28
16:00:23.550,35.28
16:00:23.864,30.66
16:00:24.178,23.41
16:00:24.492,14.08
16:00:24.806,18.05
16:00:25.120,33.04
16:00:25.434,23.23
16:00:25.748,19.64
16:00:26.062,4.52
16:00:26.376,11.12
16:00:26.690,9.21
16:00:27.004,14.07
16:00:27.318,22.61
16:00:27.632,31.3
16:00:27.946,33.81
16:00:28.260,38.99
16:00:28.574,42.97
16:00:28.888,39.9
16:00:29.202,42.51
16:00:29.516,42.05
16:00:29.830,43.92
16:00:30.144,41.1
16:00:30.458,39.9
16:00:30.772,39.91
16:00:31.086,37.71
16:00:31.400,42.52
16:00:31.714,41.1
16:00:32.028,38.21
16:00:32.342,42.99
16:00:32.656,42.04
16:00:32.970,44.14
16:00:33.284,36.59
16:00:33.598,33.6
16:00:33.912,31.76
16:00:34.226,26.66
16:00:34.540,23.38
16:00:34.854,17.16
16:00:35.168,20.99
16:00:35.482,11.91
16:00:35.796,19.33
16:00:36.110,23.4
16:00:36.424,12.23
16:00:36.738,7.63
16:00:37.052,9.28
16:00:37.366,12.12
16:00:37.680,13.21
16:00:37.994,10.39
16:00:38.308,21.53
16:00:38.622,20.21
16:00:38.936,20.76
16:00:39.250,22.65
16:00:39.564,19.01
16:00:39.878,18.38
16:00:40.192,19.2
16:00:40.506,19.09
16:00:40.820,18.83
16:00:41.134,16.26
16:00:41.448,17.44
16:00:41.762,16.56
16:00:42.076,15.76
16:00:42.390,23.47
16:00:42.704,23.06
16:00:43.018,20.42
16:00:43.332,14.78
16:00:43.646,20.19
16:00:43.960,22.65
16:00:44.274,21.3
16:00:44.588,21.83
16:00:44.902,23.79
16:00:45.216,19.07
16:00:45.530,19.25
16:00:45.844,10.52
16:00:46.158,15.98
16:00:46.472,21.29
16:00:46.786,24.18
16:00:47.100,27.89
16:00:47.414,26.08
16:00:47.728,30.06
16:00:48.042,30.77
16:00:48.356,35.09
16:00:48.670,34.66
16:00:48.984,33.95
16:00:49.298,33.91
16:00:49.612,34.39
16:00:49.926,31.35
16:00:50.240,34.43
16:00:50.554,33.52
16:00:50.868,35.1
16:00:51.182,36.93
16:00:51.496,31.96
16:00:51.810,21.79
16:00:52.124,20.74
16:00:52.438,24.11
16:00:52.752,20.97
16:00:53.066,17.7
16:00:53.380,7.85
16:00:53.694,14.22
16:00:54.008,17.36
16:00:54.322,24.68
16:00:54.636,36.17
16:00:54.950,39.65
16:00:55.264,40.35
16:00:55.578,39.09
16:00:55.892,34.32
16:00:56.206,34.83
16:00:56.520,36.54
16:00:56.834,34.76
16:00:57.148,38.62
16:00:57.462,42.29
16:00:57.776,36.87
16:00:58.090,32.94
16:00:58.404,30.98
16:00:58.718,30.78
16:00:59.032,25.6
16:00:59.346,11.41
16:00:59.660,3.51
16:00:59.974,6.54
16:01:00.288,0.81
16:01:00.602,2.04
16:01:00.916,8.36
16:01:01.230,11.47
16:01:01.544,11.96
16:01:01.858,16.27
16:01:02.172,11.73
16:01:02.486,17.92
16:01:02.800,5.62
16:01:03.114,7.6
16:01:03.428,1.01
16:01:03.742,5.25
16:01:04.056,5.58
16:01:04.370,2.69
16:01:04.684,0.76
16:01:04.998,0.31
16:01:05.312,1.65
16:01:05.626,8.78
16:01:05.940,6.88
16:01:06.254,10.63
16:01:06.568,7.89
16:01:06.882,11.9
16:01:07.196,14.86
16:01:07.510,26.63
16:01:07.824,19.35
16:01:08.138,20.47
16:01:08.452,13.93
16:01:08.766,11.26
16:01:09.080,16.74
16:01:09.394,22.83
16:01:09.708,10.29
16:01:10.022,13.97
16:01:10.336,16.06
16:01:10.650,19.2
16:01:10.964,19.15
16:01:11.278,17.88
16:01:11.592,16.92
16:01:11.906,19.35
16:01:12.220,15.94
16:01:12.534,20.85
16:01:12.848,23.81
16:01:13.162,24.07
16:01:13.476,21.87
16:01:13.790,29.58
16:01:14.104,27.89
16:01:14.418,35.41
16:01:14.732,37.44
16:01:15.046,36.94
16:01:15.360,36.16
16:01:15.674,36.33
16:01:15.988,36.84
16:01:16.302,37.1
16:01:16.616,36.63
16:01:16.930,38.12
16:01:17.244,36.09
16:01:17.558,38.15
16:01:17.872,36.49
16:01:18.186,31.18
16:01:18.500,23.01
16:01:18.814,9.69
16:01:19.128,2.6
16:01:19.442,0.77
16:01:19.756,7.47
16:01:20.070,0.79
16:01:20.384,3.66
16:01:20.698,1.94
16:01:21.012,0.76
16:01:21.326,0.82
16:01:21.640,1.52
16:01:21.954,3.81
16:01:22.268,0.79
16:01:22.582,1.81
16:01:22.896,8.83
16:01:23.210,0.81
16:01:23.524,5.01
16:01:23.838,8.56
16:01:24.152,0.81
16:01:24.466,0.79
16:01:24.780,9.84
16:01:25.094,11.7
16:01:25.408,2.59
16:01:25.722,7.98
16:01:26.036,0.79
16:01:26.350,0.79
16:01:26.664,1.07
16:01:26.978,1.3
16:01:27.292,0.79
16:01:27.606,9.4
16:01:27.920,0.8
16:01:28.234,4.91
16:01:28.548,1.56
16:01:28.862,0.79
16:01:29.176,0.79
16:01:29.490,0.79
16:01:29.804,7.27
16:01:30.118,24.16
16:01:30.432,26.0
16:01:30.746,29.01
16:01:31.060,28.61
16:01:31.374,29.59
16:01:31.688,27.46
16:01:32.002,28.09
16:01:32.316,29.53
16:01:32.630,34.49
16:01:32.944,38.98
16:01:33.258,41.84
16:01:33.572,39.78
16:01:33.886,42.61
16:01:34.200,40.82
16:01:34.514,41.59
16:01:34.828,44.36
16:01:35.142,44.24
16:01:35.456,38.52
16:01:35.770,17.97
16:01:36.084,2.05
16:01:36.398,10.86
16:01:36.712,0.15
16:01:37.026,0.79
16:01:37.340,0.75
16:01:37.654,0.77
16:01:37.968,4.01
16:01:38.282,0.78
16:01:38.596,4.59
16:01:38.910,3.34
16:01:39.224,2.04
16:01:39.538,3.09
16:01:39.852,3.84
16:01:40.166,2.29
16:01:40.480,0.79
16:01:40.794,0.81
16:01:41.108,0.81
16:01:41.422,0.8
16:01:41.736,0.73
16:01:42.050,0.69
16:01:42.364,0.66
16:01:42.678,0.69
16:01:42.992,0.81
16:01:43.306,0.76
16:01:43.620,13.24
16:01:43.934,0.78
16:01:44.248,5.56
16:01:44.562,1.21
16:01:44.876,5.06
16:01:45.190,5.73
16:01:45.504,6.03
16:01:45.818,7.34
16:01:46.132,29.07
16:01:46.446,35.31
16:01:46.760,34.98
16:01:47.074,37.69
16:01:47.388,34.23
16:01:47.702,33.71
16:01:48.016,32.09
16:01:48.330,37.05
16:01:48.644,29.4
16:01:48.958,23.6
16:01:49.272,32.33
16:01:49.586,27.77
16:01:49.900,26.44
16:01:50.214,26.32
16:01:50.528,19.28
16:01:50.842,26.98
16:01:51.156,21.16
16:01:51.470,19.74
16:01:51.784,9.03
16:01:52.098,15.92
16:01:52.412,15.49
16:01:52.726,15.76
16:01:53.040,13.69
16:01:53.354,11.16
16:01:53.668,5.76
16:01:53.982,8.81
16:01:54.296,11.22
16:01:54.610,12.5
16:01:54.924,15.36
16:01:55.238,32.79
16:01:55.552,35.57
16:01:55.866,37.44
16:01:56.180,34.45
16:01:56.494,36.46
16:01:56.808,33.6
16:01:57.122,33.42
16:01:57.436,33.39
16:01:57.750,36.44
16:01:58.064,28.29
16:01:58.378,30.1
16:01:58.692,7.73
16:01:59.006,22.99
16:01:59.320,17.74
16:01:59.634,5.87
16:01:59.948,13.94
16:02:00.262,21.32
16:02:00.576,23.32
16:02:00.890,29.21
16:02:01.204,19.52
16:02:01.518,18.29
16:02:01.832,22.97
16:02:02.146,18.15
16:02:02.460,20.6
16:02:02.774,24.23
16:02:03.088,33.41
16:02:03.402,21.24
16:02:03.716,24.58
16:02:04.030,22.62
16:02:04.344,29.25
16:02:04.658,22.9
16:02:04.972,22.18
16:02:05.286,30.52
16:02:05.600,17.79
16:02:05.914,23.99
16:02:06.228,11.06
16:02:06.542,0.1
16:02:06.856,0.75
16:02:07.170,7.98
16:02:07.484,9.21
16:02:07.798,16.68
16:02:08.112,28.5
16:02:08.426,36.36
16:02:08.740,40.38
16:02:09.054,39.37
16:02:09.368,36.83
16:02:09.682,41.33
16:02:09.996,40.61
16:02:10.310,43.54
16:02:10.624,39.4
16:02:10.938,34.14
16:02:11.252,29.53
16:02:11.566,21.58
16:02:11.880,17.03
16:02:12.194,13.87
16:02:12.508,18.15
16:02:12.822,18.48
16:02:13.136,14.66
16:02:13.450,14.14
16:02:13.764,16.38
16:02:14.078,15.18
16:02:14.392,16.93
16:02:14.706,16.93
16:02:15.020,25.29
16:02:15.334,15.15
16:02:15.648,19.37
16:02:15.962,17.13
16:02:16.276,22.42
16:02:16.590,21.51
16:02:16.904,16.5
16:02:17.218,27.73
16:02:17.532,19.23
16:02:17.846,23.54
16:02:18.160,21.07
16:02:18.474,20.67
16:02:18.788,25.02
16:02:19.102,26.13
16:02:19.416,29.04
16:02:19.730,19.76
16:02:20.044,32.62
16:02:20.358,29.33
16:02:20.672,26.92
16:02:20.986,26.95
16:02:21.300,18.8
16:02:21.614,23.3
16:02:21.928,15.82
16:02:22.242,19.73
16:02:22.556,29.48
16:02:22.870,25.68
16:02:23.184,19.48
16:02:23.498,28.66
16:02:23.812,23.82
16:02:24.126,18.39
16:02:24.440,22.46
16:02:24.754,23.67
16:02:25.068,22.67
16:02:25.382,21.74
16:02:25.696,35.29
16:02:26.010,42.3
16:02:26.324,40.6
16:02:26.638,41.33
16:02:26.952,40.08
16:02:27.266,44.29
16:02:27.580,45.52
16:02:27.894,42.82
16:02:28.208,40.15
16:02:28.522,7.53
16:02:28.836,14.75
16:02:29.150,0.76
16:02:29.464,0.79
16:02:29.778,0.78
16:02:30.092,0.77
16:02:30.406,0.79
16:02:30.720,0.78
16:02:31.034,0.81
16:02:31.348,0.77
16:02:31.662,0.79
16:02:31.976,0.78
16:02:32.290,9.83
16:02:32.604,0.79
16:02:32.918,0.79
16:02:33.232,0.78
16:02:33.546,0.78
16:02:33.860,0.76
16:02:34.174,0.78
16:02:34.488,0.78
16:02:34.802,0.77
16:02:35.116,0.77
16:02:35.430,4.09
16:02:35.744,0.77
16:02:36.058,0.76
16:02:36.372,0.76
16:02:36.686,0.77
16:02:37.000,0.79
16:02:37.314,0.82
16:02:37.628,0.82
16:02:37.942,12.34
16:02:38.256,3.1
16:02:38.570,0.85
16:02:38.884,0.87
16:02:39.198,0.9
16:02:39.512,0.97
16:02:39.826,0.98
16:02:40.140,1.04
16:02:40.454,1.04
16:02:40.768,1.09
16:02:41.082,1.1
16:02:41.396,1.18
16:02:41.710,1.16
16:02:42.024,1.11
16:02:42.338,0.98
16:02:42.652,1.0
16:02:42.966,0.91
16:02:43.280,0.92
16:02:43.594,0.94
16:02:43.908,0.89
16:02:44.222,0.87
16:02:44.536,0.89
16:02:44.850,0.93
16:02:45.164,0.9
16:02:45.478,0.93
16:02:45.792,1.05
16:02:46.106,1.02
16:02:46.420,1.09
16:02:46.734,0.93
16:02:47.048,16.38
16:02:47.362,0.06
16:02:47.676,13.59
16:02:47.990,13.69
16:02:48.304,13.05
16:02:48.618,8.75
16:02:48.932,12.83
16:02:49.246,7.31
16:02:49.560,4.59
16:02:49.874,7.09
16:02:50.188,4.3
16:02:50.502,0.83
16:02:50.816,0.83
16:02:51.130,2.94
16:02:51.444,7.35
16:02:51.758,25.05
16:02:52.072,26.08
16:02:52.386,18.75
16:02:52.700,19.41
16:02:53.014,24.04
16:02:53.328,24.48
16:02:53.642,25.36
16:02:53.956,25.53
16:02:54.270,25.4
16:02:54.584,22.9
16:02:54.898,18.61
16:02:55.212,20.05
16:02:55.526,20.6
16:02:55.840,18.95
16:02:56.154,15.41
16:02:56.468,18.94
16:02:56.782,24.78
16:02:57.096,22.54
16:02:57.410,34.69
16:02:57.724,37.02
16:02:58.038,39.4
16:02:58.352,36.36
16:02:58.666,35.76
16:02:58.980,38.01
16:02:59.294,37.01
16:02:59.608,40.83
16:02:59.922,43.07
16:03:00.236,45.4
16:03:00.550,37.2
16:03:00.864,33.61
16:03:01.178,19.05
16:03:01.492,11.84
16:03:01.806,13.11
16:03:02.120,12.11
16:03:02.434,6.81
16:03:02.748,21.98
16:03:03.062,11.84
16:03:03.376,21.0
16:03:03.690,19.7
16:03:04.004,23.25
16:03:04.318,22.82
16:03:04.632,22.34
16:03:04.946,23.3
16:03:05.260,34.37
16:03:05.574,28.53
16:03:05.888,39.22
16:03:06.202,32.98
16:03:06.516,35.21
16:03:06.830,24.58
16:03:07.144,13.51
16:03:07.458,13.0
16:03:07.772,14.94
16:03:08.086,11.36
16:03:08.400,22.94
16:03:08.714,21.31
16:03:09.028,25.75
16:03:09.342,16.78
16:03:09.656,20.13
16:03:09.970,26.41
16:03:10.284,38.48
16:03:10.598,39.13
16:03:10.912,37.85
16:03:11.226,36.82
16:03:11.540,39.81
16:03:11.854,39.33
16:03:12.168,39.06
16:03:12.482,36.33
16:03:12.796,33.57
16:03:13.110,35.63
16:03:13.424,34.7
16:03:13.738,36.17
16:03:14.052,25.4
16:03:14.366,8.39
16:03:14.680,6.45
16:03:14.994,9.94
16:03:15.308,1.58
16:03:15.622,6.11
16:03:15.936,3.66
16:03:16.250,5.58
16:03:16.564,10.46
16:03:16.878,7.23
16:03:17.192,7.11
16:03:17.506,21.47
16:03:17.820,14.75
16:03:18.134,6.85
16:03:18.448,6.33
16:03:18.762,14.89
16:03:19.076,16.96
16:03:19.390,17.97
16:03:19.704,10.71
16:03:20.018,8.33
16:03:20.332,15.66
16:03:20.646,10.39
16:03:20.960,17.1
16:03:21.274,6.27
16:03:21.588,0.88
16:03:21.902,3.2
16:03:22.216,6.19
16:03:22.530,13.11
16:03:22.844,14.53
16:03:23.158,20.21
16:03:23.472,20.09
16:03:23.786,13.05
16:03:24.100,15.81
16:03:24.414,7.31
16:03:24.728,12.23
16:03:25.042,14.68
16:03:25.356,21.13
16:03:25.670,24.92
16:03:25.984,35.12
16:03:26.298,35.12
16:03:26.612,34.19
16:03:26.926,34.4
16:03:27.240,35.38
16:03:27.554,35.38
16:03:27.868,33.46
16:03:28.182,35.03
16:03:28.496,35.18
16:03:28.810,30.2
16:03:29.124,14.11
16:03:29.438,1.24
16:03:29.752,0.81
16:03:30.066,3.03
16:03:30.380,7.53
16:03:30.694,1.68
16:03:31.008,12.18
16:03:31.322,7.95
16:03:31.636,4.85
16:03:31.950,16.37
16:03:32.264,7.11
16:03:32.578,19.15
16:03:32.892,5.44
16:03:33.206,3.99
16:03:33.520,5.64
16:03:33.834,7.48
16:03:34.148,8.87
16:03:34.462,18.85
16:03:34.776,15.82
16:03:35.090,21.32
16:03:35.404,24.99
16:03:35.718,20.98
16:03:36.032,0.68
16:03:36.346,0.72
16:03:36.660,0.67
16:03:36.974,0.7
16:03:37.288,0.72
16:03:37.602,0.69
16:03:37.916,0.69
16:03:38.230,0.68
16:03:38.544,0.67
16:03:38.858,0.82
16:03:39.172,0.85
16:03:39.486,0.87
16:03:39.800,2.5
16:03:40.114,4.43
16:03:40.428,5.81
16:03:40.742,3.7
16:03:41.056,2.92
16:03:41.370,1.86
16:03:41.684,0.72
16:03:41.998,0.69
16:03:42.312,0.68
16:03:42.626,0.68
16:03:42.940,15.77
16:03:43.254,0.85
16:03:43.568,0.92
16:03:43.882,16.97
16:03:44.196,20.36
16:03:44.510,17.54
16:03:44.824,0.9
16:03:45.138,1.18
16:03:45.452,1.18
16:03:45.766,1.12
16:03:46.080,1.09
16:03:46.394,1.16
16:03:46.708,0.94
16:03:47.022,0.7
16:03:47.336,0.93
16:03:47.650,0.9
16:03:47.964,11.32
16:03:48.278,43.47
16:03:48.592,48.17
16:03:48.906,44.84
16:03:49.220,45.39
16:03:49.534,36.72
16:03:49.848,24.04
