timestamp,a_mm,b_mm,x_mm,y_mm,theta_rad,theta_deg
14:38:09,-1.0,310.0,310.4707270725008,-0.7947393373164953,0.9627749920829446,55.16294366709397
14:38:09,-1.0,312.0,312.4707190364857,-0.7947185523078886,0.9627567894195941,55.161900731308094
14:38:09,-1.0,305.0,305.4707476229097,-0.794792496721229,0.9628215415426841,55.16561075467566
14:38:09,-1.0,308.0,308.4707352127201,-0.7947603932242314,0.9627934307828152,55.164000126776266
14:38:09,-1.0,311.0,311.47072304159315,-0.7947289112776011,0.9627658615308822,55.16242052499617
14:38:09,-1.0,309.0,309.47073112945867,-0.7947498310780425,0.9627841816423005,55.16347019006065
14:38:09,-1.0,306.0,306.470743459184,-0.7947817253619108,0.9628121101402332,55.16507037512033
14:38:09,-1.0,306.0,306.470743459184,-0.7947817253619108,0.9628121101402332,55.16507037512033
14:38:09,-1.0,314.0,314.47071110268683,-0.7946980330038896,0.9627388182892932,55.16087106138877
14:38:09,-1.0,316.0,316.4707032691663,-0.7946777743419396,0.9627210743024124,55.15985440582877
14:38:09,-1.0,315.0,315.470707173511,-0.7946878714040285,0.962729918172929,55.16036112228392
14:38:09,-1.0,324.0,324.47067290078047,-0.7945992492533108,0.9626522857844673,55.15591311407155
14:38:09,-1.0,312.0,312.4707190364857,-0.7947185523078886,0.9627567894195941,55.161900731308094
14:38:09,-1.0,309.0,309.47073112945867,-0.7947498310780425,0.9627841816423005,55.16347019006065
14:38:09,-1.0,304.0,304.47075181398594,-0.7948033392011372,0.9628310348976411,55.16615468384811
14:38:09,-1.0,319.0,319.47069170278735,-0.7946478642920249,0.9626948748841986,55.158353289739416
14:38:09,-1.0,310.0,310.4707270725008,-0.7947393373164953,0.9627749920829446,55.16294366709397
14:38:09,-1.0,312.0,312.4707190364857,-0.7947185523078886,0.9627567894195941,55.161900731308094
14:38:09,-1.0,305.0,305.4707476229097,-0.794792496721229,0.9628215415426841,55.16561075467566
14:38:09,-1.0,308.0,308.4707352127201,-0.7947603932242314,0.9627934307828152,55.164000126776266
14:38:09,-1.0,311.0,311.47072304159315,-0.7947289112776011,0.9627658615308822,55.16242052499617
14:38:09,-1.0,309.0,309.47073112945867,-0.7947498310780425,0.9627841816423005,55.16347019006065
14:38:09,-1.0,306.0,306.470743459184,-0.7947817253619108,0.9628121101402332,55.16507037512033
14:38:09,-1.0,306.0,306.470743459184,-0.7947817253619108,0.9628121101402332,55.16507037512033
14:38:09,-1.0,314.0,314.47071110268683,-0.7946980330038896,0.9627388182892932,55.16087106138877
14:38:09,-1.0,316.0,316.4707032691663,-0.7946777743419396,0.9627210743024124,55.15985440582877
14:38:09,-1.0,315.0,315.470707173511,-0.7946878714040285,0.962729918172929,55.16036112228392
14:38:09,-1.0,324.0,324.47067290078047,-0.7945992492533108,0.9626522857844673,55.15591311407155
14:38:09,-1.0,312.0,312.4707190364857,-0.7947185523078886,0.9627567894195941,55.161900731308094
14:38:09,-1.0,309.0,309.47073112945867,-0.7947498310780425,0.9627841816423005,55.16347019006065
14:38:09,-1.0,304.0,304.47075181398594,-0.7948033392011372,0.9628310348976411,55.16615468384811
14:38:12,-1.0,322.0,322.470680351616,-0.7946185134758874,0.9626691629394778,55.15688010382384
14:38:12,-1.0,313.0,313.4707150569315,-0.7947082597622663,0.9627477751897898,55.16138425398474
14:38:12,-1.0,317.0,317.4706993894181,-0.7946677412047388,0.962712286146241,55.15935088157045
14:38:13,-1.0,319.0,319.47069170278735,-0.7946478642920249,0.9626948748841986,55.158353289739416
14:38:13,-1.0,325.0,325.4706692097013,-0.794589706354717,0.9626439249885902,55.15543407575442
14:38:13,-1.0,325.0,325.4706692097013,-0.794589706354717,0.9626439249885902,55.15543407575442
14:38:14,-1.0,326.0,326.4706655412342,-0.7945802221990383,0.9626356154118025,55.154957972074946
14:38:14,-1.0,340.0,340.4706164453761,-0.7944533208288511,0.9625244066099276,55.148586177082805
14:38:14,-1.0,326.0,326.4706655412342,-0.7945802221990383,0.9626356154118025,55.154957972074946
14:38:14,-1.0,313.0,313.4707150569315,-0.7947082597622663,0.9627477751897898,55.16138425398474
14:38:15,-1.0,330.0,330.47065108937994,-0.7945428622893926,0.9626028799963039,55.15308237092627
14:38:15,-1.0,333.0,333.4706404780118,-0.7945154333101789,0.9625788438033385,55.15170519851379
14:38:15,-1.0,337.0,337.4706266229962,-0.794479623472404,0.9625474603061772,55.14990705658009
14:38:16,-1.0,330.0,330.47065108937994,-0.7945428622893926,0.9626028799963039,55.15308237092627
14:38:16,-1.0,340.0,340.4706164453761,-0.7944533208288511,0.9625244066099276,55.148586177082805
14:38:16,-1.0,328.0,328.47065827130973,-0.7945614279600974,0.9626191480443228,55.15401446141867
14:38:16,-1.0,326.0,326.4706655412342,-0.7945802221990383,0.9626356154118025,55.154957972074946
14:38:17,-1.0,316.0,316.4707032691663,-0.7946777743419396,0.9627210743024124,55.15985440582877
14:38:17,-1.0,302.0,302.47076027927505,-0.7948252403589844,0.9628502099229139,55.1672533318683
14:38:17,-1.0,311.0,311.47072304159315,-0.7947289112776011,0.9627658615308822,55.16242052499617
14:38:18,-1.0,299.0,299.4707731892145,-0.7948586434767279,0.9628794526815605,55.16892881852007
14:38:18,-1.0,308.0,308.4707352127201,-0.7947603932242314,0.9627934307828152,55.164000126776266
14:38:18,-1.0,312.0,312.4707190364857,-0.7947185523078886,0.9627567894195941,55.161900731308094
14:38:18,-1.0,308.0,308.4707352127201,-0.7947603932242314,0.9627934307828152,55.164000126776266
